Fill (Заполнение),5120000,0,9999
arc3.gz (1),25088,10000,10048
arc5.wim (1),470528,10049,10967
arc3.gz (2),25517,10968,11017
arc5.wim (2),470531,11018,11937
Fill (Заполнение),5120000,11938,21937
arc7.zip (1),321536,21938,22565
arc1.7z (1),564736,22566,23668
arc4.tar (1),606208,23669,24852
arc7.zip (2),322228,24853,25482
arc1.7z (2),565508,25483,26587
arc4.tar (2),606720,26588,27772
Fill (Заполнение),5120000,27773,37772
arc2.bz2 (1),187904,37773,38139
arc7.zip (1),214528,38140,38558
arc2.bz2 (2),187904,38559,38925
arc7.zip (2),214528,38926,39344
arc2.bz2 (3),189296,39345,39714
arc7.zip (3),214708,39715,40134
Fill (Заполнение),5120000,40135,50134
arc1.7z (1),376320,50135,50869
arc5.wim (1),313344,50870,51481
arc6.rar (1),289280,51482,52216
arc1.7z (2),376320,52217,52828
arc5.wim (2),313344,52829,53393
arc6.rar (2),289280,53394,53958
arc1.7z (3),377604,53959,54696
arc5.wim (3),314371,54697,55311
arc6.rar (3),290225,55312,55878
