Fill (Заполнение),5120000,0,9999
D3.xlsx (1),11264,10000,10021
D5.docx (1),2048,10022,10025
D3.xlsx (2),12249,10026,10049
D5.docx (2),2376,10050,10054
Fill (Заполнение),5120000,10055,20054
D7.pptx (1),451072,20055,20935
D1.pdf (1),1587712,20936,24036
D4.xlsx (1),6656,24037,24049
D7.pptx (2),451573,24050,24931
D1.pdf (2),1588563,24932,28034
D4.xlsx (2),7168,28035,28048
Fill (Заполнение),5120000,28049,38048
D2.pdf (1),841728,38049,39692
D7.pptx (1),300544,39693,40279
D2.pdf (2),841728,40280,41923
D7.pptx (2),300544,41924,42510
D2.pdf (3),841958,42511,44155
D7.pptx (3),301557,44156,44744
Fill (Заполнение),5120000,44745,54744
D2.pdf (1),841728,54745,56388
D5.docx (1),1024,56389,56390
D6.docx (1),1024,56391,56392
D2.pdf (2),841728,56393,58036
D5.docx (2),1024,58037,58038
D6.docx (2),1024,58039,58040
D2.pdf (3),841958,58041,59685
D5.docx (3),2376,59686,59690
D6.docx (3),1956,59691,59694
