Fill (Заполнение),5120000,0,9999
vid1.mp4 (1),567808,10000,11108
vid4.flv (1),1856512,11109,14734
vid1.mp4 (2),568199,14735,15844
vid4.flv (2),1856701,15845,19471
Fill (Заполнение),5120000,19472,29471
vid3.mov (1),248320,29472,29956
vid5.mpg (1),11289600,29957,52006
vid6.wmv (1),1230848,52007,54410
vid3.mov (2),249094,54411,54897
vid5.mpg (2),11289600,54898,76947
vid6.wmv (2),1230848,76948,79351
Fill (Заполнение),5120000,79352,89351
vid2.avi (1),489984,89352,90308
vid4.flv (1),1237504,90309,92725
vid2.avi (2),489984,92726,93682
vid4.flv (2),1237504,93683,96099
vid2.avi (3),490392,96100,97057
vid4.flv (3),1238205,97058,99476
